skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Blessed Aim Map	582		blessed aim		65																73731	blessedaim	blessedaim		min(ln12,60)	attackrate	min(par3+lvl*par4+skill('Might'.blvl)*par8,63)	item_preventheal	1	attackrate	dm56																																																																													1	1	6		none														xx																										1	30								1											0	8	0	0	1	1	1		50														16	radius	1	additional radius per level	11	% chance of crushing blow	2	% additional crushing blow/level	0	min% boost	40	max% boost			2	crushing blow synergy	1								8																																					100
Blessed Hammer Map	583		blessed hammer											hammerorb			hammerorb																																																												paladin_holybolt_cast																			hammerorb	hammerorb												1	2		none												SC	SC	xx																	1						paladin_holybolt_cast			18	25													1						1	6	20	1	1																		4	Concentration influence in 8ths	0	?	0	?	0	?	0	?	0	?			6	damage synergy	1								8															mag	725	725	725	725	725	725	725	725	725	725	725	725										100
Blizzard Map	584		blizzard		28												blizzardcenter	blizzardcenter	blizzardcenter																																																										sorceress_cast_cold											ice_cast_3				28					blizzardcenter												1	7		none												SC	SC	xx					4				1								1						sorceress_cast_cold	ice_cast_3		18	25																			1	8	23	1	1										par1	radius	par3	frequency					14	radius			1	Missile delay	0	Change duration in Missiles.xls					5	freeze synergy	7	damage synergy	1								8															cold	625	625	625	625	625	625	625	625	625	625	625	625		100				(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par7				100
Bone Spirit Map	585		bone spirit		10												bonespirit	bonespirit																																																											necromancer_bone_cast															18					bonespirit												1	7		none												SC	SC	SC																	1			4			necromancer_bone_cast			24	20													1						1	8	16	1	1										0	dmg%																					5	damage synergy	1								8															mag	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100										100
Chain Lightning Map	586		chain lightning		26												chainlightning	chainlightning	chainlightning						par1																																																				sorceress_cast_lightning											light_cast_1				27					chainlightning	chainlightning	chainlightning										1	2		none												SC	SC	SC																	151	96					sorceress_cast_lightning			30	20													1						1	8	9	1	1										ln34 / par5	# hits	5						20	radius of jump to next target			26	bolts (5ths)	3	bolts per level (5ths)	5	5ths					5	damage synergy	1								8															ltng	775	775	775	775	775	775	775	775	775	775	775	775										100
Concentrate Map	587		concentrate	32	2															doubledamage1		concentrate				skill_armor_percent	ln34																																																			barbarian_grunt_small_1	1																														1	0		h2h		mele										A1	A1	A1				1		1	1								1											6	30													1						1	5	16	1											ln12+(skill('Bash'.blvl)+skill('Stun'.blvl)+skill('Berserk'.blvl))*par8	damage%		post dmg add		attack rate bonus	skill('Berserk'.blvl)	convert%	10	Damage % base	10	Damage % per level	50	% AC bonus	1	% AC bonus per level	5	to hit synergy	0	ac synergy			10	damage synergy	1			60+lvl*15					8	160														mag																						100
Elemental Mastery Map	588		elementalmastery		68												elemcry				98304		elemcry	ln12+(skill('Howl'.blvl)+skill('Taunt'.blvl)+skill('Natural Resistance'.blvl))*par8		fireresist	-MIN(100,ln34)	coldresist	-MIN(100,ln34)	lightresist	-MIN(100,ln34)	poisonresist	-MIN(100,ln34)	magicresist	-MIN(100,ln34)																																											barbarian_battlecry_1														25					elemcry												1	3		none												SC	SC	A1				1													1									30	20								1					1						1	8	5	0	1																		300	duration	100	duration/level	20	lower resist	2	lower resist per level							50	duration synergy	1								8																																					100
Fanaticism Map	589		fanaticism		65																73731	fanaticism	fanaticism		min(ln12,60)	attackrate	dm34	item_tohit_percent	toht	damagepercent	ln56*5/6+(skill('Might'.blvl)+skill('Concentration'.blvl))*par8																	damagepercent	ln56+(skill('Might'.blvl)+skill('Concentration'.blvl))*par8																																																											1	1	8		none														A1																										30	20								1											0	8	0	0	1	1	1		50														13	radius	1	additional radius per level	10	min% boost	40	max% boost	10	% damage boost	10	% damage bonus per level			4	damage synergy	1	40	5						8																																					100
Fire Ball Map	590		fire ball											fireball																																																															sorceress_cast_fire											fire_cast_2								fireball													1	5		none												SC	SC	SC																	1						sorceress_cast_fire			12	25													1						1	7	10	1	1																																6	damage synergy	1								8															fire	800	800	800	800	800	800	800	800	800	800	800	800										100
Fire Bolt Map	591		fire bolt		8												firebolt																																																												sorceress_cast_fire											fire_cast_1			19	17					firebolt	firebolt	bonecast										1	1		none												SC	SC	SC																	1						sorceress_cast_fire			1	30													1						1	6	10	1	1										1+blvl/15	# missiles	par3	activation frame					3	number of missiles	0	additional missiles/level	0	Acivation frame of teeth									7	damage synergy	1								8															fire	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150										100
Firestorm Map	592		firestorm		117												firestormmaker																																																												druid_firecast_b											druid_fire_cast_1				67					firestormmaker												1	0		none												SC	SC	xx				1													1						druid_firecast_b	druid_fire_cast_1		24	20								1					1						1	7	26	1	1										ln12+skill('Molten Boulder'.blvl)/5	# missiles							5	Number of missiles	0	Number of missiles per level	0	?	0	?	0	?	0	?			5	damage synergy	1								8															fire	800	800	800	800	800	800	800	800	800	800	800	800										100
Fire Trauma Map	593		fire trauma											bomb in air		1									par1+blvl/3																																																								weapon_throw_1															bomb in air													1	0		rng												SC	SC	S2				1													1									1	30													1						1	6	20	1	1																		8	radius											6	damage synergy	8	damage synergy	1								8															cold	850	850	850	850	850	850	850	850	850	850	850	850		50	10	10	10		11			100
Fist of the Heavens Map	594		fist of the heavens		80												fistoftheheavensdelay			handofgod					35																																																				paladin_handofgod_cast															36					fistoftheheavensdelay												1	7		none												SC	SC	xx					4			1							1		1			4						30	20													1						1	8	25	0	1										ln34	min heal	ln56	max heal	(100+(skill('Holy Bolt'.blvl)+skill('Sanctuary'.blvl)+skill('Blessed Hammer'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100	holy boly synergy	ln12	# bolts	6	holy bolts to release	1	holy bolts per level	0	min hitpoints healed	0	hitpoints healed per level	0	max hitpoints healed	0	hitpoints healed per level			10	damage synergy	1								8															ltng	700	700	700	700	700	700	700	700	700	700	700	700										100
Frozen Orb Map	595		frozen orb											frozenorb																																																															sorceress_cast_cold											ice_cast_3				29					frozenorb												1	8		none												SC	SC	SC																	1						sorceress_cast_cold			30	20													1						1	8	21	1	1																														5	freeze synergy	6	damage synergy	1								8															cold	675	675	675	675	675	675	675	675	675	675	675	675		200	25	25	25	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl))*par7				100
