skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Mythical Dragon Talon	289		mythical dragon talon	39	1																			bonusdamagestate		100		passive_fire_mastery	-stat('passive_fire_mastery'.accr)+stat('passive_fire_mastery'.accr)*25/100-75	passive_cold_mastery	-stat('passive_cold_mastery'.accr)+stat('passive_cold_mastery'.accr)*25/100-75	passive_ltng_mastery	-stat('passive_ltng_mastery'.accr)+stat('passive_ltng_mastery'.accr)*25/100-75	damagepercent	-stat('damagepercent'.accr)+stat('damagepercent'.accr)*25/100-75-stat('strength'.accr)+stat('strength'.accr)*25/100-stat('dexterity'.accr)+stat('dexterity'.accr)*25/100																																																											assassin_kick_1																																	1	0		h2h	4											KK	KK	A1				1		1	1								1															-10	20														1	1		1			1	8	8	1						1	0	0						125										5	Damage % baseline	7	Damage % per level											1	Always Hit (0 = disabled | 1 = enabled only when Charges are consumed)									1							1	8																																		4		256	25000	0
Cry Help	290				128																	curseattract																																																																																																									1	0		none												SQ	SQ	S1				1																										1															0	0																				ln12	Duration											100	Duration baseline	20	Duration per level																					1								8																																					0	0
Healing Vortex	291														healing vortex																																																																																																			healing vortex													1	0		none												SQ	SQ	S2				1																										1															0	0									1																																															1								8		10	5	5	5	5	5	20	5	5	5	5	5																								0	0
Teleport 2	292				98																																																																																																							48	73																		1	0		none												SQ	SQ	S1				1																										1															0	0									1																																															1								8																																					0	0
Self-resurrect	293			61																																																																																																								38																			1	0		none												SQ	SQ	S1				1																										1															0	0									1																																															1								8																																					0	0
Vine Attack	294				130													plague vines							slowed			velocitypercent	-100																																																																					druidpod_attack_1	druidpod_walk1_1	druidpod_neutral_1								49							vine beast attack	vines	vine beast walk 1	vine beast neutral	"min(ln12,12)"	# of vine Missiles created	35	Missile Delay	6	Min Distance between Missiles			1	0		none												SQ	SQ	S1				1																										1															0	0									1											"min(ln12,24)"	# of Missiles created					20						3	# of Missiles created baseline	1	# of Missiles created per level																					1								8																																					0	0
Overseer Whip	295				131																				bloodlust	par2		velocitypercent	par3	attackrate	par4	skill_armor_percent	par5	damagepercent	par6																																										suicideminion1			S1											33																																				1	0		none												SQ	SQ	A2				1																										1															0	0									1											par1	% chance to get Bloodlust											65	% chance to get Bloodlust	250	Bloodlust Duration	80	Velocity %	80	Attack Speed %	50	Armor %	100	Damage %													1								8																																					0	0
Barbs Aura	296				65																		65795	barbscontrol	barbs		ln12	item_attackertakesdamage	edmn*3	item_openwounds	lvl																																																																																																1	0		none												SQ	SQ	A1				1																										1															0	0									1		1																					30	Radius baseline (must match Spirit of Barbs Param7)	2	Radius per level (must match Spirit of Barbs Param8)																					1								8																32	9	18	27	36	45																0	0
Wolverine Aura	297				65																		65795	wolverinecontrol	wolverine		ln12	item_tohit_percent	ln34	damagepercent	ln56	attackrate	5+lvl/2	velocitypercent	5+lvl/2	item_maxhp_percent	10+lvl*2																																																																																										1	0		none												SQ	SQ	A1				1																										1															0	0									1		1																					30	Radius baseline (must match Heart of Wolverine Param7)	2	Radius per level (must match Heart of Wolverine Param8)	25	Attack Rating % baseline (must match Heart of Wolverine Param3)	7	Attack Rating % per level (must match Heart of Wolverine Param4)	20	Damage % baseline (must match Heart of Wolverine Param5)	7	Damage % per level (must match Heart of Wolverine Param6)													1								8																																					0	0
Oak Sage Aura	298				65																		65795	oaksagecontrol	oaksage		ln12	item_maxhp_percent	ln34																																																																																																		1	0		none												SQ	SQ	A1				1																										1															0	0									1		1																					30	Radius baseline (must match Oak Sage Param7)	2	Radius per level (must match Oak Sage Param8)	30	HP % baseline (must match Oak Sage Param1)	5	HP % per level (must match Oak Sage Param2)							10	cow balloon synergy									1								8																																					0	0
Imp Fire Missile	299				132													impmiss21																																																																												sorceress_cast_fire											fist_will_cast									impmiss21													1	0		none												A1	A1	A1																														1															0	0									1																																															1								8																																					0	0
Impregnate	300				133																																																																								painworm1			NU																																															1	0		none												S1	S1	S1				1																										1															0	0									1																																															1								8																																					0	0
Siege Beast Stomp	301				134																						par5																																																																														siege_beast_dust				75																			0		none												A2	A2	A2				1																										1															0	0									1																							8	Camera Screen Shake Magnitude	5	Camera Screen Shake Build Up Duration	20	Camera Screen Shake Loop Duration	15	Camera Screen Shake Fade Duration	25	Radius															1				1				8		20	10	10	10	10	10	60	10	10	10	10	10																								0	0
MinionSpawner	302			62	135																																																																																							spawnedminion																																			1	0		none												A1	A1	A1																														1															0	0									1																																															1								8																																					0	0
CatapultBlizzard	303				28													catapult cold ball																																																																																										47							catapult cold ball				16	Missile Fall Rate							1	0		none												A1	A1	A1																														1															0	0									1																																															1								8																																					0	0
CatapultPlague	304				28													catapult plague ball																																																																																										47							catapult plague ball				16	Missile Fall Rate							1	0		none												A1	A1	A1																														1															0	0									1																																															1								8																																					0	0
CatapultMeteor	305				28													catapult meteor ball									par1																																																																																	47							catapult meteor ball				16	Missile Fall Rate							1	0		none												A1	A1	A1																														1															0	0									1																							5	Explosion Radius			50	Duration of ground fire baseline	3	Duration of ground fire per level																	1								8																																					0	0
BoltSentry	306				8													sentryfireball																																																																																											17						sentryfireball												1	0		none												SC	SC	xx																														1															0	0									1											2	# of Bolt Missiles created					10	# of shots					5	# of Bolt Missiles created baseline (must match Charged Bolt Sentry Param3)	0	# of Bolt Missiles created per level (must match Charged Bolt Sentry Param4)											5	# of shots (must match Charged Bolt Sentry Param1)									1								8																																					0	0
CorpseCycler	307				28													verruption center																																																																												druid_firecast_a											druid_fire_cast_2				28						verruption center												1	0		none												SC	SC	xx				1	4				1											1							druid_firecast_a	druid_fire_cast_2		1													15	15	0	1									1											par1	radius	par2	frequency									5	radius	6	Missile delay	0	Change duration in Missiles.xls									6	damage synergy									1								8															fire	4	4	8	12	16	16	8	4	8	12	16	16	(skill('Volcano'.blvl)+skill('Flameburst'.blvl)+skill('Firestorm'.blvl)+skill('Plague Poppy'.blvl)+skill('Vines'.blvl))*par8									0	0
DeathMaul	308				136													death mauler																																																																																											76						death mauler	death mauler trail											1	0		none												A1	A1	xx																														1															0	0									1											96	Missile Anim Rate																																			1								8		10	4	4	4	4	4	20	4	4	4	4	4																								0	0
Defense Curse	309				30																		3		defense_curse	ln34	ln12	skill_armor_percent	-ln56																																																																															18	30						curseeffectred		cursecast										1	0		none												SC	SC	S2																														1															0	0									1																							3	Radius baseline	1	Radius per level	200	Duration baseline	75	Duration per level	50	Defense % baseline	5	Defense % per level													1																																													0	0
Blood Mana	310				30																		3		blood_mana	ln34	ln12																																																																																	18	30						curseeffectred		cursecast										1	0		none												SC	SC	S2																														1															0	0									1																							3	Radius baseline	1	Radius per level	200	Duration baseline	75	Duration per level	40	"Max HP Limit (If target HP reaches this value or lower, then remove the Curse)"															1								8		10	4	4	4	4	4	20	4	4	4	4	4																								0	0
mon inferno sentry	311			53	95													inferno sentry 1																																																																																										52	77						inferno sentry 1	inferno sentry 2			-37	Missile Z Offset							1	0		none												SQ	SQ	xx																														1															0	0									1											ln34/2 + skill('Wake of Fire Sentry'.blvl)	"Missile Range (If 0, then use Missile Param2)"	par1 + skill('Wake of Fire Sentry'.blvl)	Anim Frame Adder (Min=1)	3	Anim Frame Density (Min=1)	par8						15	Anim Frame Adder (Min=1)			40	Range (Duration of missile) baseline	0	Range (Duration of missile) per level							10	# of shots (must match Inferno Sentry Param1)									1								8																																					0	0
mon death sentry	312				55																						ln34																																																																													necromancer_corpseexp_1	death_sentry			50	78						corpseexplosion	deathsentryexplode											1	0		none												SQ	SQ	xx											1																			1															0	0									1											par1	Damage % of base HP for enemy Min	par2	Damage % of base HP for enemy Max	par5	% Damage Dealt as Elemental	par8						40	Damage % of base HP for enemy Min 	80	Damage % of base HP for enemy Max	10	Radius (half squares)	1	Radius per level (half squares)	50	Damage % Dealt as Elemental					10	# of shots (must match Death Sentry Param1)									1								8															fire																						0	0
sentry lightning	313														sentrylightningbolt																																																																																																			sentrylightningbolt													1	0		none												SQ	SQ	xx																				1										1															0	0									1																	par8																				10	# of shots (must match Lightning Sentry Param1)									1								8																																					0	0
fenris rage	314				137																			fenris_rage		par1		damagepercent	par2																																																																					necromancer_corpseexp_1										51	79						corpseexplosion												1	0		none												A1	A1	A1											1									1										1															0	0									1																							500	Duration	100	Damage %																					1								8																																					0	0
Baal Tentacle	315				140																																																																																																																										1	0		none												S2	S2	S2				1																										1															0	0									1																																															1																																													0	0
Baal Nova	316				22													baal nova																																																																												baal_novacast											fire_cast_2				25						baal nova				0	Missile Velocity Adder							1	0		none												S3	S3	S3																														1															0	0									1											0	Missile Velocity Adder																																			1								8															fire	50	24	32	32	32	32	75	24	32	32	32	32										0	0
Baal Inferno	317			53	95													baal inferno																																																																												baal_missilecast															54						baal inferno												1	0		none												SQ	SQ	xx																														1															0	0									1											0	"Missile Range (If 0, then use Missile Param2)"	par1	Anim Frame Adder (Min=1)	2	Anim Frame Density (Min=1)							20	Anim Frame Adder (Min=1)																							1								5															mag	64	48	48	48	48	48	96	48	48	48	48	48										0	0
Baal Cold Missiles	318				139													baal cold maker																																																																												baal_coldtrailcast															81						baal cold maker												1	0		none												A1	A1	A1				1																										1															0	0									1																																															1								8															cold	20	9	13	13	13	13	40	9	13	13	13	13		200	50	50	50					0	0
